class_id,student_id,start_date,end_date
1,1,2021-09-01,2024-02-01
1,2,2021-09-01,2024-02-01
1,3,2021-09-01,2024-02-01
1,4,2021-09-01,2024-02-01
1,5,2021-09-01,2024-02-01
1,6,2021-09-01,2024-02-01
1,7,2021-09-01,2024-02-01
1,8,2021-09-01,2024-02-01
1,9,2021-09-01,2024-02-01
1,10,2021-09-01,2024-02-01
1,11,2021-09-01,2024-02-01
1,12,2021-09-01,2024-02-01
1,13,2021-09-01,2024-02-01
1,14,2021-09-01,2024-02-01
1,15,2021-09-01,2024-02-01
1,16,2021-09-01,2024-02-01
1,17,2021-09-01,2024-02-01
1,18,2021-09-01,2024-02-01
1,19,2021-09-01,2024-02-01
1,20,2021-09-01,2024-02-01
1,21,2021-09-01,2024-02-01
1,22,2021-09-01,2024-02-01
1,23,2021-09-01,2024-02-01
2,24,2021-09-01,2024-02-01
2,25,2021-09-01,2024-02-01
2,26,2021-09-01,2024-02-01
2,27,2021-09-01,2024-02-01
2,28,2021-09-01,2024-02-01
2,29,2021-09-01,2024-02-01
2,30,2021-09-01,2024-02-01
2,31,2021-09-01,2024-02-01
2,32,2021-09-01,2024-02-01
2,33,2021-09-01,2024-02-01
2,34,2021-09-01,2024-02-01
2,35,2021-09-01,2024-02-01
2,36,2021-09-01,2024-02-01
2,37,2021-09-01,2024-02-01
2,38,2021-09-01,2024-02-01
2,39,2021-09-01,2024-02-01
2,40,2021-09-01,2024-02-01
2,41,2021-09-01,2024-02-01
2,42,2021-09-01,2024-02-01
2,43,2021-09-01,2024-02-01
2,44,2021-09-01,2024-02-01
2,45,2021-09-01,2024-02-01
2,46,2021-09-01,2024-02-01
2,47,2021-09-01,2024-02-01
2,48,2021-09-01,2024-02-01
2,49,2021-09-01,2024-02-01
3,50,2021-09-01,2024-02-01
3,51,2021-09-01,2024-02-01
3,52,2021-09-01,2024-02-01
3,53,2021-09-01,2024-02-01
3,54,2021-09-01,2024-02-01
3,55,2021-09-01,2024-02-01
3,56,2021-09-01,2024-02-01
3,57,2021-09-01,2024-02-01
3,58,2021-09-01,2024-02-01
3,59,2021-09-01,2024-02-01
3,60,2021-09-01,2024-02-01
3,61,2021-09-01,2024-02-01
3,62,2021-09-01,2024-02-01
3,63,2021-09-01,2024-02-01
3,64,2021-09-01,2024-02-01
3,65,2021-09-01,2024-02-01
3,66,2021-09-01,2024-02-01
3,67,2021-09-01,2024-02-01
3,68,2021-09-01,2024-02-01
3,69,2021-09-01,2024-02-01
3,70,2021-09-01,2024-02-01
3,71,2021-09-01,2024-02-01
3,72,2021-09-01,2024-02-01
4,73,2021-09-01,2024-02-01
4,74,2021-09-01,2024-02-01
4,75,2021-09-01,2024-02-01
4,76,2021-09-01,2024-02-01
4,77,2021-09-01,2024-02-01
4,78,2021-09-01,2024-02-01
4,79,2021-09-01,2024-02-01
4,80,2021-09-01,2024-02-01
4,81,2021-09-01,2024-02-01
4,82,2021-09-01,2024-02-01
4,83,2021-09-01,2024-02-01
4,84,2021-09-01,2024-02-01
4,85,2021-09-01,2024-02-01
4,86,2021-09-01,2024-02-01
4,87,2021-09-01,2024-02-01
4,88,2021-09-01,2024-02-01
4,89,2021-09-01,2024-02-01
4,90,2021-09-01,2024-02-01
4,91,2021-09-01,2024-02-01
4,92,2021-09-01,2024-02-01
4,93,2021-09-01,2024-02-01
4,94,2021-09-01,2024-02-01
4,95,2021-09-01,2024-02-01
4,96,2021-09-01,2024-02-01
4,97,2021-09-01,2024-02-01
4,98,2021-09-01,2024-02-01
5,99,2021-09-01,2024-02-01
5,100,2021-09-01,2024-02-01
5,101,2021-09-01,2024-02-01
5,102,2021-09-01,2024-02-01
5,103,2021-09-01,2024-02-01
5,104,2021-09-01,2024-02-01
5,105,2021-09-01,2024-02-01
5,106,2021-09-01,2024-02-01
5,107,2021-09-01,2024-02-01
5,108,2021-09-01,2024-02-01
5,109,2021-09-01,2024-02-01
5,110,2021-09-01,2024-02-01
5,111,2021-09-01,2024-02-01
5,112,2021-09-01,2024-02-01
5,113,2021-09-01,2024-02-01
5,114,2021-09-01,2024-02-01
5,115,2021-09-01,2024-02-01
5,116,2021-09-01,2024-02-01
5,117,2021-09-01,2024-02-01
5,118,2021-09-01,2024-02-01
5,119,2021-09-01,2024-02-01
5,120,2021-09-01,2024-02-01
5,121,2021-09-01,2024-02-01
5,122,2021-09-01,2024-02-01
5,123,2021-09-01,2024-02-01
5,124,2021-09-01,2024-02-01
5,125,2021-09-01,2024-02-01
5,126,2021-09-01,2024-02-01
6,127,2021-09-01,2024-02-01
6,128,2021-09-01,2024-02-01
6,129,2021-09-01,2024-02-01
6,130,2021-09-01,2024-02-01
6,131,2021-09-01,2024-02-01
6,132,2021-09-01,2024-02-01
6,133,2021-09-01,2024-02-01
6,134,2021-09-01,2024-02-01
6,135,2021-09-01,2024-02-01
6,136,2021-09-01,2024-02-01
6,137,2021-09-01,2024-02-01
