class_id,teacher_id,start_date,end_date
1,13,2021-09-01,2025-09-01
2,23,2021-09-01,2025-09-01
3,16,2021-09-01,2025-09-01
4,11,2021-09-01,2025-09-01
4,24,2021-09-01,2025-09-01
5,17,2021-09-01,2025-09-01
6,20,2021-09-01,2025-09-01
7,28,2021-09-01,2025-09-01
8,30,2021-09-01,2025-09-01
9,7,2021-09-01,2025-09-01
10,7,2021-09-01,2025-09-01
10,14,2021-09-01,2025-09-01
11,19,2021-09-01,2025-09-01
11,13,2021-09-01,2025-09-01
12,6,2021-09-01,2025-09-01
13,29,2021-09-01,2025-09-01
13,27,2021-09-01,2025-09-01
14,12,2021-09-01,2025-09-01
14,10,2021-09-01,2025-09-01
15,25,2021-09-01,2025-09-01
15,10,2021-09-01,2025-09-01
16,12,2021-09-01,2025-09-01
16,5,2021-09-01,2025-09-01
17,19,2021-09-01,2025-09-01
18,14,2021-09-01,2025-09-01
19,19,2021-09-01,2025-09-01
20,22,2021-09-01,2025-09-01
21,21,2021-09-01,2025-09-01
21,20,2021-09-01,2025-09-01
22,17,2021-09-01,2025-09-01
22,14,2021-09-01,2025-09-01
